company_name,open_RMSE,open_MAE,open_MAPE,open_R2,high_RMSE,high_MAE,high_MAPE,high_R2,low_RMSE,low_MAE,low_MAPE,low_R2,close_RMSE,close_MAE,close_MAPE,close_R2
DMART,66.09310622152987,45.718354372937256,1.0465972101695085,0.9830760818558676,65.16517283206099,44.68751856435644,1.0044785000599326,0.9839479610891116,54.572042296361246,36.054901402640525,0.8355510840843056,0.9877607104641982,51.22294664449276,27.305162128712418,0.6143105328794737,0.989447809765688
GAIL,63.535262450987716,53.57393149606321,27.856980109831625,-1.8082748723377442,64.98302248463952,54.917417650918466,28.190311126158043,-1.8761718854121372,65.10795907171264,55.1117043963254,29.17730368415833,-2.0696795115780326,66.69217174769308,56.510458923884514,29.483940832210365,-2.139108725810506
GODREJCP,158.606825143838,112.0567734908139,8.466071338088645,-0.19914472248609916,165.4341651017613,118.79421607611513,8.90162417908888,-0.2740403775688338,160.49015488394906,114.92604160105061,8.827345873700358,-0.2975418958987075,170.3884557893501,124.50034822834637,9.477427422558058,-0.4157982157344595
HDFCAMC,591.1636055139738,436.8710741106688,9.70804241292743,-0.7656014819106309,621.3449521681962,477.22650988142226,10.561817797582767,-0.9122326955635551,599.6305894059052,448.94619960474284,10.13694040206244,-0.7968225394401063,729.1886070549539,602.9083695652215,13.804968612913981,-1.6154308575651792
ICICIGI,274.5614380837155,221.76972139084435,11.412873841995536,-1.3148440075243624,277.27893562605476,224.26134110915453,11.400570555394971,-1.3073815190683251,280.21694445912044,229.5660972711272,12.002997611537198,-1.464984557719475,303.4200638581852,255.56763820422438,13.270627003283566,-1.860632022111413
ICICIPRULI,20.601233668591583,12.139924336973575,1.7968151740690983,0.9232924850333558,25.216037773265352,14.411366224649049,2.0774452015446814,0.8898169247075829,24.776912186203436,14.796033541341574,2.2037568263086524,0.8877515365372562,29.186115088583346,17.668627535101617,2.591698615211837,0.8491097906282297
IRCTC,47.5543328163872,27.8724855643046,2.920477227564089,0.8619838375775389,39.859636029540894,23.38188845144344,2.4129252208224865,0.9061602188757328,56.58325461097327,32.29631627296583,3.388623014886964,0.7958943038528726,47.85779353279094,24.69991765091915,2.497332099130847,0.8590126662976506
JSWENERGY,196.27689663063535,157.7689386543539,25.752836484001776,-1.3556142862730431,206.5557076037518,170.55321141160957,27.740149984902658,-1.5766253565632966,192.86860558752184,155.07450527704486,25.829978437056898,-1.3792942566516153,223.28881599624162,189.2325207783643,31.94661546612217,-2.108372072583548
LTTS,71.83029148304182,55.93092912772592,1.1323745848836004,0.9757848152325146,72.35566675910573,53.72473520249196,1.0595255441939706,0.9757090002297051,76.37245642198218,60.4822021028028,1.2164065611860315,0.9716548128509109,68.81300211357194,50.30440926791249,0.9799612197478074,0.9774510886495128
MARICO,64.61891386534963,45.106638451443644,6.699842309443617,0.15042190985984671,69.62823397063873,49.1881492782153,7.219072515576871,0.05878917650912052,71.061116508272,50.65228182414637,7.625535473764275,-0.05850393707544588,78.41918923573985,57.10262992126003,8.524959387638066,-0.25088076625134326
NAUKRI,108.45321882936652,64.1946817585302,4.249855188248199,0.8440392879806072,105.11957009572279,61.853707349081354,4.018696930472663,0.8583363248641566,149.4000883547875,98.69025262467193,6.653807759304739,0.6938208840682143,148.60992367080755,98.21573818897637,6.516942731270294,0.7074075133663493
NMDC,30.024180040227236,27.101060104986885,38.37834556318588,-3.6397698697932217,30.527403583158826,27.57195275590557,38.49176027155333,-3.662693034382688,29.376273811203202,26.49963123359584,38.18978061775049,-3.637162521197263,30.07522209034822,27.14799534120735,38.511560028789326,-3.698278194919599
PIDILITIND,185.61385455425557,132.49036384514426,4.307352432128208,0.4411002052168109,208.27754001146448,151.99765485564308,4.89830505110113,0.32436147447763775,200.70484948527888,146.6877923228358,4.826487385050911,0.3248810968375211,212.40610277780996,158.62688254593147,5.1774509694260376,0.2642551770420408
SBICARD,13.098690125425978,8.479300257731929,1.0487924893564005,0.9786314916640545,8.63096536964343,5.577814432989685,0.6785064425520517,0.9912621124494624,9.07919613917809,6.326318943298992,0.8047036675169466,0.9894003809681682,5.152197852003145,2.6818762886597614,0.3171318796046714,0.9967763046132292
SHREECEM,323.4934806160459,232.1809849081359,0.8470641795723068,0.976221303778394,338.1096279116146,229.8301400918665,0.8188517278259063,0.9746654684040255,417.4839900546785,245.3086374671935,0.8838351866149697,0.9588210489540349,354.5485056068364,162.25470144356603,0.5584588725815394,0.9710516602134791
